raw,monotone,lisse,reciproque,verif
-2.192999362,-2.233939,-2.233939,-2.192999,-1.626574
-2.230623483,-2.233939,-2.233939,-2.230623,-1.730907
-2.32524228,-2.233939,-2.233939,-2.325242,-2.148775
-2.290382623,-2.233939,-2.233939,-2.290383,-2.017691
-2.241623163,-2.233610,-2.233610,-2.241623,-1.882925
-2.233102798,-2.233281,-2.233281,-2.233103,-1.784829
-2.078173398,-2.232951,-2.232951,-2.078173,-1.096362
-2.342292785,-2.232622,-2.232622,-2.342293,-2.189974
-2.140457868,-2.232293,-2.232293,-2.140458,-1.170400
-2.21484375,-2.231964,-2.231964,-2.214844,-1.667590
-2.309835672,-2.231635,-2.231635,-2.309836,-2.108232
-2.184220314,-2.231305,-2.231305,-2.184220,-1.610527
-2.321725606,-2.230976,-2.230976,-2.321726,-2.139301
-2.254595994,-2.230647,-2.230647,-2.254596,-1.917305
-2.17722249,-2.230126,-2.230126,-2.177222,-1.598482
-2.318111419,-2.229241,-2.229241,-2.318111,-2.129282
-2.116450548,-2.226767,-2.226767,-2.116451,-1.135204
-2.233162641,-2.224293,-2.224293,-2.233163,-1.786130
-2.281673908,-2.221702,-2.221702,-2.281674,-1.984474
-2.220403432,-2.218557,-2.218557,-2.220403,-1.678910
-2.311516046,-2.215360,-2.215360,-2.311516,-2.112629
-2.227687597,-2.211787,-2.211787,-2.227688,-1.701743
-2.11890769,-2.208215,-2.208215,-2.118908,-1.138029
-2.320199251,-2.204971,-2.204971,-2.320199,-2.135070
-2.168662786,-2.201694,-2.201694,-2.168663,-1.582919
-2.307827949,-2.198417,-2.198417,-2.307828,-2.102959
-2.295648813,-2.195140,-2.195140,-2.295649,-2.048694
-2.231251955,-2.191863,-2.191863,-2.231252,-1.744575
-2.261440277,-2.188531,-2.188531,-2.261440,-1.932426
-2.209406852,-2.184888,-2.184888,-2.209407,-1.657590
-2.193764448,-2.181244,-2.181244,-2.193764,-1.628038
-2.18001604,-2.177601,-2.177601,-2.180016,-1.603290
-2.083337068,-2.173958,-2.173958,-2.083337,-1.101438
-2.04589796,-2.170506,-2.170506,-2.045898,-1.065963
-1.744433522,-2.167419,-2.167419,-1.744434,-0.136458
-2.343703508,-2.165920,-2.165920,-2.343704,-2.193167
-1.963746666,-2.164422,-2.164422,-1.963747,-0.600368
-2.081857919,-2.163040,-2.163040,-2.081858,-1.099979
-2.201289415,-2.162212,-2.162212,-2.201289,-1.642442
-2.175999641,-2.161437,-2.161437,-2.176000,-1.596378
-2.239651203,-2.161037,-2.161037,-2.239651,-1.870130
-2.20176053,-2.160638,-2.160638,-2.201761,-1.643344
-2.213313817,-2.160238,-2.160238,-2.213314,-1.664774
-2.244136095,-2.159871,-2.159871,-2.244136,-1.892160
-2.280979156,-2.159505,-2.159505,-2.280979,-1.982328
-2.30618596,-2.159139,-2.159139,-2.306186,-2.098647
-2.152218341,-2.158772,-2.158772,-2.152218,-1.334943
-2.14906454,-2.158461,-2.158461,-2.149065,-1.306512
-2.297071933,-2.158461,-2.158461,-2.297072,-2.058308
-2.241694927,-2.158461,-2.158461,-2.241695,-1.883391
-2.17953062,-2.158461,-2.158461,-2.179531,-1.602455
-2.296335458,-2.158461,-2.158461,-2.296335,-2.053332
-2.118108272,-2.158461,-2.158461,-2.118108,-1.137110
-2.207852602,-2.158461,-2.158461,-2.207853,-1.654738
-2.285126686,-2.158461,-2.158461,-2.285127,-1.995135
-2.214991092,-2.158461,-2.158461,-2.214991,-1.667861
-2.147989749,-2.158461,-2.158461,-2.147990,-1.296822
-2.304400444,-2.158461,-2.158461,-2.304400,-2.092940
-2.023010969,-2.158461,-2.158461,-2.023011,-1.027944
-2.14770174,-2.158461,-2.158461,-2.147702,-1.292606
-2.269423961,-2.158461,-2.158461,-2.269424,-1.951558
-2.166886091,-2.158461,-2.158461,-2.166886,-1.579522
-2.293019294,-2.158461,-2.158461,-2.293019,-2.030930
-2.102086544,-2.158461,-2.158461,-2.102087,-1.120000
-2.136721849,-2.158461,-2.158461,-2.136722,-1.162598
-2.291625976,-2.158461,-2.158461,-2.291626,-2.023422
-2.207206249,-2.157829,-2.157829,-2.207206,-1.653552
-2.208299636,-2.157196,-2.157196,-2.208300,-1.655559
-2.175200939,-2.156564,-2.156564,-2.175201,-1.595003
-1.95908904,-2.155868,-2.155868,-1.959089,-0.574468
-2.323505878,-2.155173,-2.155173,-2.323506,-2.144236
-1.830013155,-2.154477,-2.154477,-1.830013,-0.254459
-2.129714488,-2.153781,-2.153781,-2.129714,-1.151355
-2.174923419,-2.153086,-2.153086,-2.174923,-1.594525
-2.15514779,-2.152390,-2.152390,-2.155148,-1.383337
-2.25047636,-2.151695,-2.151695,-2.250476,-1.908684
-2.271103858,-2.150999,-2.150999,-2.271104,-1.955824
-2.185071468,-2.150304,-2.150304,-2.185071,-1.611992
-2.032845973,-2.149608,-2.149608,-2.032846,-1.049789
-2.28255701,-2.148912,-2.148912,-2.282557,-1.987200
-2.139585494,-2.148217,-2.148217,-2.139585,-1.168578
-2.259303092,-2.147521,-2.147521,-2.259303,-1.927661
-2.193948984,-2.146826,-2.146826,-2.193949,-1.628391
-2.096622228,-2.146130,-2.146130,-2.096622,-1.114549
-1.907826066,-2.145434,-2.145434,-1.907826,-0.408298
-2.297048091,-2.145371,-2.145371,-2.297048,-2.058147
-2.128069162,-2.145308,-2.145308,-2.128069,-1.149127
-2.142804622,-2.145245,-2.145245,-2.142805,-1.196915
-2.238433361,-2.145245,-2.145245,-2.238433,-1.862229
-2.263221502,-2.145245,-2.145245,-2.263222,-1.936605
-2.168082952,-2.145245,-2.145245,-2.168083,-1.581810
-2.18089652,-2.145245,-2.145245,-2.180897,-1.604806
-2.271519899,-2.145245,-2.145245,-2.271520,-1.956880
-2.047360897,-2.145245,-2.145245,-2.047361,-1.067427
-2.124772071,-2.145245,-2.145245,-2.124772,-1.144989
-2.233348608,-2.145245,-2.145245,-2.233349,-1.790175
-2.131129503,-2.145245,-2.145245,-2.131130,-1.153447
-2.250494956,-2.145245,-2.145245,-2.250495,-1.908723
-2.135167121,-2.144248,-2.144248,-2.135167,-1.159418
-2.187416791,-2.141738,-2.141738,-2.187417,-1.616238
-2.274589776,-2.139227,-2.139227,-2.274590,-1.964804
-2.017233848,-2.135367,-2.135367,-2.017234,-0.815000
-2.15562129,-2.131146,-2.131146,-2.155621,-1.397988
-2.262696266,-2.126453,-2.126453,-2.262696,-1.935373
-2.064139842,-2.120999,-2.120999,-2.064140,-1.083145
-2.270680665,-2.115545,-2.115545,-2.270681,-1.954749
-2.20741415,-2.109645,-2.109645,-2.207414,-1.653934
-2.213665008,-2.103601,-2.103601,-2.213665,-1.665420
-2.176825761,-2.097268,-2.097268,-2.176826,-1.597800
-2.143609523,-2.090912,-2.090912,-2.143610,-1.212643
-2.172275781,-2.084557,-2.084557,-2.172276,-1.589828
-2.150192975,-2.078201,-2.078201,-2.150193,-1.316684
-2.142493963,-2.071507,-2.071507,-2.142494,-1.190844
-2.057139873,-2.064814,-2.064814,-2.057140,-1.076588
-2.041506767,-2.058120,-2.058120,-2.041507,-1.061540
-1.963555932,-2.051426,-2.051426,-1.963556,-0.599302
-1.763561129,-2.044733,-2.044733,-1.763561,-0.152789
-1.588771343,-2.039036,-2.039036,-1.588771,-0.067035
-2.313668012,-2.034853,-2.034853,-2.313668,-2.118024
-1.660850286,-2.030669,-2.030669,-1.660850,-0.094645
-1.887508511,-2.027836,-2.027836,-1.887509,-0.370712
-1.984926819,-2.025363,-2.025363,-1.984927,-0.661186
-1.987949609,-2.023362,-2.023362,-1.987950,-0.667473
-2.095493793,-2.022123,-2.022123,-2.095494,-1.113435
-2.078366279,-2.020883,-2.020883,-2.078366,-1.096545
-2.155441045,-2.020089,-2.020089,-2.155441,-1.392411
-2.109278678,-2.019440,-2.019440,-2.109279,-1.127429
-2.168631553,-2.019079,-2.019079,-2.168632,-1.582859
-2.162191629,-2.018741,-2.018741,-2.162192,-1.555943
-2.202991485,-2.018403,-2.018403,-2.202991,-1.645701
-1.978911995,-2.018065,-2.018065,-1.978912,-0.649199
-2.233374595,-2.018065,-2.018065,-2.233375,-1.790740
-2.222498178,-2.018065,-2.018065,-2.222498,-1.683442
-2.087334632,-2.018065,-2.018065,-2.087335,-1.105382
-1.88118577,-2.018065,-2.018065,-1.881186,-0.359042
-2.257001638,-2.018065,-2.018065,-2.257002,-1.922588
-2.106348514,-2.018065,-2.018065,-2.106349,-1.124372
-2.229172945,-2.018065,-2.018065,-2.229173,-1.707368
-1.910397171,-2.018065,-2.018065,-1.910397,-0.415058
-2.17462325,-2.018065,-2.018065,-2.174623,-1.594009
-2.036602735,-2.018065,-2.018065,-2.036603,-1.055294
-1.823636174,-2.018065,-2.018065,-1.823636,-0.242525
-2.225260972,-2.018065,-2.018065,-2.225261,-1.692555
-2.110463857,-2.018065,-2.018065,-2.110464,-1.128682
-1.924077749,-2.018065,-2.018065,-1.924078,-0.453106
-2.195952177,-2.018065,-2.018065,-2.195952,-1.632225
-2.138309717,-2.018065,-2.018065,-2.138310,-1.165914
-1.976740598,-2.018065,-2.018065,-1.976741,-0.644603
-2.235085725,-2.018065,-2.018065,-2.235086,-1.827955
-1.898663997,-2.018065,-2.018065,-1.898664,-0.390089
-2.116327524,-2.018065,-2.018065,-2.116328,-1.135067
-2.159365177,-2.018065,-2.018065,-2.159365,-1.513832
-2.024364471,-2.018065,-2.018065,-2.024364,-1.031617
-2.216087102,-2.018065,-2.018065,-2.216087,-1.669878
-2.034354209,-2.018065,-2.018065,-2.034354,-1.052256
-2.1672194,-2.018065,-2.018065,-2.167219,-1.580159
-2.106113433,-2.018065,-2.018065,-2.106113,-1.124126
-2.06569457,-2.018065,-2.018065,-2.065695,-1.084602
-1.947385668,-2.018065,-2.018065,-1.947386,-0.523783
-1.59913063,-2.018065,-2.018065,-1.599131,-0.070879
-2.243831872,-2.018065,-2.018065,-2.243832,-1.891296
-1.937286496,-2.018065,-2.018065,-1.937286,-0.483263
-2.047667026,-2.018065,-2.018065,-2.047667,-1.067714
-2.051511526,-2.018065,-2.018065,-2.051512,-1.071315
-2.143080472,-2.018065,-2.018065,-2.143080,-1.202305
-2.218983888,-2.018065,-2.018065,-2.218984,-1.675838
-1.860066413,-2.016547,-2.016547,-1.860066,-0.315470
-2.130998849,-2.015030,-2.015030,-2.130999,-1.153254
-1.933565258,-2.013512,-2.013512,-1.933565,-0.473021
-2.184445381,-2.011994,-2.011994,-2.184445,-1.610914
-1.939598798,-2.010001,-2.010001,-1.939599,-0.489827
-1.995385169,-2.008008,-2.008008,-1.995385,-0.685796
-2.147907257,-2.006015,-2.006015,-2.147907,-1.296079
-2.174234867,-2.003919,-2.003919,-2.174235,-1.593340
-1.864666581,-2.001657,-2.001657,-1.864667,-0.324044
-2.018933057,-1.999394,-1.999394,-2.018933,-0.888977
-2.16942954,-1.997132,-1.997132,-2.169430,-1.584385
-2.162977457,-1.994869,-1.994869,-2.162977,-1.559977
-2.084625005,-1.992607,-1.992607,-2.084625,-1.102709
-2.031919956,-1.989594,-1.989594,-2.031920,-1.048275
-2.016188144,-1.986580,-1.986580,-2.016188,-0.769473
-2.018962144,-1.983556,-1.983556,-2.018962,-0.890243
-1.928577423,-1.980330,-1.980330,-1.928577,-0.462428
-1.712789416,-1.977103,-1.977103,-1.712789,-0.117341
