raw,monotone,lisse,reciproque,verif
-2.049680948,-1.922218,-1.922218,-2.049681,-1.660001
-2.139792919,-1.922218,-1.922218,-2.139793,-1.894661
-2.166652917,-1.922218,-1.922218,-2.166653,-1.933808
-2.062711,-1.922218,-1.922218,-2.062711,-1.669152
-1.877822399,-1.922218,-1.922218,-1.877822,-1.132585
-2.205345153,-1.922218,-1.922218,-2.205345,-2.003247
-2.086360216,-1.922218,-1.922218,-2.086360,-1.687625
-2.110429286,-1.922218,-1.922218,-2.110429,-1.741668
-2.11755681,-1.922218,-1.922218,-2.117557,-1.772633
-1.993441343,-1.922218,-1.922218,-1.993441,-1.617886
-1.272882223,-1.922218,-1.922218,-1.272882,-0.149739
-2.191085815,-1.922218,-1.922218,-2.191086,-1.974216
-2.021960735,-1.922218,-1.922218,-2.021961,-1.639515
-2.079608917,-1.922218,-1.922218,-2.079609,-1.681857
-2.068151473,-1.922218,-1.922218,-2.068151,-1.673123
-2.150886774,-1.922218,-1.922218,-2.150887,-1.911131
-2.077213287,-1.922218,-1.922218,-2.077213,-1.679943
-2.011748313,-1.922218,-1.922218,-2.011748,-1.631761
-2.19574356,-1.922218,-1.922218,-2.195744,-1.982964
-1.800471901,-1.922218,-1.922218,-1.800472,-1.084024
-2.081793308,-1.922218,-1.922218,-2.081793,-1.683698
-2.055093288,-1.922218,-1.922218,-2.055093,-1.663756
-2.026526212,-1.922218,-1.922218,-2.026526,-1.642982
-2.186629056,-1.922218,-1.922218,-2.186629,-1.966251
-2.034525632,-1.922218,-1.922218,-2.034526,-1.649056
-2.028028726,-1.920544,-1.920544,-2.028029,-1.644123
-2.16943717,-1.918870,-1.918870,-2.169437,-1.938219
-1.914160966,-1.913657,-1.913657,-1.914161,-1.160370
-2.007364511,-1.906306,-1.906306,-2.007365,-1.628432
-2.126957893,-1.897993,-1.897993,-2.126958,-1.843537
-2.044188976,-1.888992,-1.888992,-2.044189,-1.656186
-2.107293128,-1.879717,-1.879717,-2.107293,-1.729559
-2.050981283,-1.870008,-1.870008,-2.050981,-1.660902
-2.023509979,-1.860300,-1.860300,-2.023510,-1.640691
-2.037583112,-1.850502,-1.850502,-2.037583,-1.651377
-1.976410508,-1.840705,-1.840705,-1.976411,-1.605846
-2.109025716,-1.830907,-1.830907,-2.109026,-1.736249
-2.111994266,-1.820948,-1.820948,-2.111994,-1.747710
-1.944396615,-1.810315,-1.810315,-1.944397,-1.583337
-1.873510718,-1.799683,-1.799683,-1.873511,-1.129789
-1.821643352,-1.789050,-1.789050,-1.821643,-1.096591
-1.634941577,-1.778418,-1.778418,-1.634942,-0.507029
-1.533555507,-1.767785,-1.767785,-1.533556,-0.386623
-0.40290904,-1.757153,-1.757153,-0.402909,0.491443
-2.154747724,-1.748194,-1.748194,-2.154748,-1.916493
-0.764977574,-1.739235,-1.739235,-0.764978,-0.036504
-1.14254415,-1.733816,-1.733816,-1.142544,-0.107041
-1.659705519,-1.730534,-1.730534,-1.659706,-0.606035
-1.879023671,-1.728216,-1.728216,-1.879024,-1.133391
-1.94501996,-1.726584,-1.726584,-1.945020,-1.583818
-1.950872063,-1.725226,-1.725226,-1.950872,-1.588018
